"keyword","appearance_count","average_impact","total_impact"
"have","9","0.02615109739255988","0.23535987653303891"
"bridge","2","0.11731515073915944","0.23463030147831887"
"iran","2","0.11408034231862985","0.2281606846372597"
"deal","3","0.07582681534889464","0.22748044604668394"
"cancer","1","0.22610124805942178","0.22610124805942178"
"zombies","1","0.22589036473073065","0.22589036473073065"
"siren","5","0.04448686008607703","0.22243430043038515"
"protest","2","0.110554919752758","0.221109839505516"
"people","4","0.0545705890544923","0.2182823562179692"
"say","6","0.03612090339736333","0.21672542038418"
"police","1","0.21492147457320243","0.21492147457320243"
"s","17","0.012611484051654662","0.21439522887812926"
"ing","6","0.035325612671052414","0.21195367602631449"
"er","9","0.02353513429704928","0.21181620867344353"
"lightning","1","0.21091874595731497","0.21091874595731497"
"brutally","1","0.21053002802987716","0.21053002802987716"
"hacked","1","0.20959445647895336","0.20959445647895336"
"saw","1","0.20753522089216858","0.20753522089216858"
"nigeria","2","0.10288476705318317","0.20576953410636634"
"that","12","0.01711069827215748","0.2053283792658898"
"forces","1","0.20497894077561796","0.20497894077561796"
"sky","3","0.06814960223467399","0.204448806704022"
"infections","1","0.20338880928466097","0.20338880928466097"
"tragedy","2","0.10076833874969136","0.20153667749938273"
"town","4","0.04997439853226145","0.1998975941290458"
"australia","3","0.06649340343816827","0.1994802103145048"
"looting","1","0.1994634261354804","0.1994634261354804"
"trauma","2","0.0996284979628399","0.1992569959256798"
"plane","1","0.19903943579023084","0.19903943579023084"
"venezuela","1","0.19903823896311224","0.19903823896311224"
"kushima","1","0.19711037445813417","0.19711037445813417"
"down","7","0.02815614493649301","0.19709301455545106"
"and","10","0.019703495086481174","0.19703495086481174"
"fu","1","0.19644597731530666","0.19644597731530666"
"prevention","1","0.19633892714045942","0.19633892714045942"
"t","13","0.015063675250382795","0.19582777825497633"
"car","4","0.04873249713273253","0.19492998853093013"
"troops","1","0.19128568470478058","0.19128568470478058"
"c","5","0.038231715885922314","0.19115857942961156"
"risks","1","0.1907161318231374","0.1907161318231374"
"snow","3","0.06287210248410702","0.18861630745232105"
"evidence","2","0.09164589777356014","0.18329179554712027"
"an","9","0.020286269968858472","0.18257642971972624"
